tag,DBH cm,height m,stems,crown base ht m, CVS,CVC,bole char ht cm,bole ch DBH perc,bole ch base perc,mean depth consumed cm,percent duff cons ,mean duff depth cm,Cvsprouting percent,max sprout ht cm,sprout BA cm2,epicormics,site,scar,Long,Lat,dieback
461,23.2,12.1,4,3.5,60,0,56,0,40,6.25,50.00,6.25,0,0,0,,HLD01,1002,-122.5086409,47.05998327,20
462,23,12.02,2,5.3,40,0,13,0,40,9.93,37.50,9.933333333,0,0,0,,HLD01,1005,-122.5081296,47.05973811,0
463,29.7,11.7,2,3,20,0,0.2,0,1,0.00,0.00,0,0,0,0,,HLD01,1007,-122.5083435,47.06028151,10
464,34,10.9,5,3.7,80,5,140,20,80,2.43,52.06,4.542857143,0,0,0,,HLD01,1010,-122.5083565,47.06017622,10
465,27.2,13.7,4,4.7,50,0,26,0,70,2.93,20.07,5.233333333,0,0,0,,HLD01,1013,-122.5085268,47.06030998,10
466,10,5.5,1,1.9,100,5,47,0,30,0.00,0.00,0,0,0,0,,HLD01,1016,-122.5085981,47.06015018,40
467,30,11.2,1,2.5,100,0,78,0,100,4.49,62.32,6.214285714,0,0,0,,HLD01,1020,-122.507993,47.06038531,10
468,24.5,12.3,1,3,100,0,166,10,100,4.31,61.87,6.45,5,0,0,40,HLD01,1022,-122.5079055,47.06031863,30
469,13.4,9.4,1,2.9,10,0,12,0,100,0.00,0.00,0,0,0,0,,HLD01,1024,122.507482,47.060533,0
470,10.6,7.1,3,2.7,100,0,58,0,100,1.00,3.47,3.6,0,0,0,,HLD01,1026,-122.5076791,47.06064445,30
471,12.4,10.6,2,2,100,0,47,0,100,2.50,43.20,3.7,80,0,0,10,HLD01,1028,-122.5078333,47.0607004,90
472,19.6,10.2,3,4.9,100,0,51,0,10,1.40,6.48,2.7,0,0,0,,HLD01,1031,-122.5080414,47.06070993,80
473,5.2,4.4,2,1.73,100,0,37,0,100,5.53,46.44,8.966666667,0,0,0,,HLD01,1033,-122.5080921,47.06074801,100
474,16.7,11.2,3,4.3,100,0,190,80,90,5.10,73.16,5.857142857,0,0,0,,HLD01,1035,-122.5083538,47.06088685,30
475,13.8,11.7,1,5,60,0,25,0,70,2.98,39.98,3.85,0,0,0,,HLD01,1037,-122.5083563,47.06095133,20
476,13.9,7.3,1,1.6,100,0,86,0,100,1.79,40.99,4.228571429,25,0,0,10,HLD01,1039,-122.5084184,47.06108822,70
477,14,8.8,2,2.1,90,0,63,0,50,1.73,26.65,2.8,0,0,0,,HLD01,1041,-122.5074832,47.06024153,10
478,15,10.8,3,3.6,40,0,61,0,80,0.00,0.00,0,0,0,0,,HLD01,1043,-122.5081367,47.06060086,10
479,12.6,8.9,2,3.1,40,0,30,0,50,0.00,0.00,0,0,0,0,,HLD01,1046,-122.5079586,47.06059224,10
480,9.6,5.3,8,4.5,20,0,135,40,100,3.56,69.56,5.0875,0,0,0,,HLD01,1048,-122.5086989,47.06127092,40
481,19.4,14.7,4,3.5,100,0,40,0,100,6.35,91.40,6.8875,40,0,0,,HLD01,1050,-122.5092568,47.06158473,30
482,18.3,4.4,2,1.7,100,50,133,10,100,7.10,98.73,7.1875,0,0,0,,HLD01,1052,-122.5094975,47.0616523,100
483,18.3,12.7,1,2.8,100,0,110,0,100,6.65,83.53,7.7125,0,0,0,,HLD01,1055,-122.5093644,47.06152414,50
484,27.3,12,1,7.4,60,0,117,0,100,8.14,83.77,9.3125,0,0,0,,HLD01,1057,-122.5094156,47.06170253,20
485,26.4,13.4,1,3.1,80,0,4.4,70,100,6.35,89.60,6.975,0,0,0,,HLD01,1059,-122.5092949,47.06163281,50
486,22,12.5,3,2.7,30,0,87,0,60,3.05,50.05,6.02,0,0,0,,HLD01,1061,-122.509785,47.06202984,20
487,22.1,10.4,2,7.4,40,0,0,0,0,0.00,0.00,0,0,0,0,,HLD01,1064,-122.5094193,47.06184859,30
488,17.2,5.7,2,1.5,80,10,76,0,90,2.17,41.07,4.814285714,0,0,0,5,HLD01,1066,-122.5095681,47.06176725,10
489,9.4,5.3,5,2.5,100,0,30,0,100,6.16,78.38,7.971428571,0,0,0,,HLD01,1068,-122.5097132,47.06175135,100
490,12.5,11.1,2,6.9,50,0,20,0,80,0.06,2.02,3.1,0,0,0,,HLD01,1070,-122.509814,47.06144437,10
491,19.8,7.3,1,5.4,100,0,80,0,100,1.03,30.53,3.12,0,0,0,,HLD01,1072,-122.5098298,47.06114354,40
492,18,13.1,2,6.1,10,0,14,0,10,0.15,2.34,3.2,0,0,0,,HLD01,1074,-122.5094345,47.06106713,10
493,14.5,12.8,2,5.6,20,0,12,0,60,2.50,43.09,5.9,0,0,0,,HLD01,1076,-122.5090344,47.06096404,10
941,13.5,8.7,1,3.2,0,0,0,0,0,0.00,0.00,0,0,0,,10,HLD02,,-122.5147253,47.0586444,30
942,17.3,12,2,4.8,10,0,0,0,0,0.00,0.00,0,0,0,,2,HLD02,,-122.5143051,47.0585629,15
943,35.9,15.4,1,2.6,20,0,40,0,20,0.31,3.91,0,0,0,,,HLD02,,-122.5142202,47.05886358,10
944,11.1,7.5,1,3.3,100,0,0,0,0,0.00,0.00,0,0,0,,5,HLD02,1087,-122.5145446,47.05894009,70
945,22.4,12.6,4,4.6,30,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.5150133,47.05886341,10
946,11.9,7.2,1,2.6,100,0,0,0,0,0.34,5.63,0,0,0,,,HLD02,,-122.5150402,47.0589615,20
947,9.2,7.5,1,2.7,10,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,1094,-122.5141264,47.0586032,10
948,23.4,13,2,5.6,0,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.5150083,47.05898673,15
949,22.2,8.3,2,3.7,100,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.515827,47.05911878,40
950,32,10.6,3,5.2,40,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.5157954,47.05936378,0
951,24.5,9.9,1,1.4,60,0,6,0,10,0.88,12.50,0,0,0,,,HLD02,1103,-122.5153471,47.05930888,20
952,24.6,12.4,2,2.7,50,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.5154556,47.05934496,10
953,16.1,8.6,1,3,10,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,1108,-122.5153324,47.05942923,10
954,18,11.4,1,5.1,0,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.5153164,47.05947892,0
955,22.9,12,2,3.3,0,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.5157144,47.05978887,0
956,23.1,10.9,2,3.4,30,0,7,0,10,2.25,37.50,0,0,0,,10,HLD02,,-122.5158551,47.05986633,10
957,19.8,9.1,1,2.9,100,0,80,0,100,0.06,3.13,0,0,0,,20,HLD02,1117,-122.5156163,47.06006094,40
958,20,9.7,1,2.1,60,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.5153895,47.06008512,10
959,23,13.5,4,4.6,0,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,1122,-122.5154808,47.06022971,0
960,13.1,6.4,2,4.2,100,0,28,0,100,0.00,0.00,0,0,0,,,HLD02,1125,-122.515645,47.06044257,20
961,9,5.4,2,2.4,100,0,240,100,80,0.00,0.00,0,0,0,,70,HLD02,1128,-122.5158769,47.06046963,80
962,18.7,11.7,4,5.3,100,0,20,0,80,0.38,6.82,0,0,0,,20,HLD02,,-122.5162425,47.05967699,20
963,18.4,10.5,1,4.5,100,0,140,50,30,0.98,18.48,0,0,0,,30,HLD02,,-122.5164827,47.059688,50
964,23.3,6.3,5,3.2,10,0,0,0,0,0.63,6.94,0,0,0,,,HLD02,,-122.5164826,47.05977037,10
965,25.4,13,4,7.4,10,0,12,0,50,0.00,0.00,0,0,0,,,HLD02,,-122.5164521,47.05978874,0
966,16.9,10.6,4,4.4,40,0,15,0,20,1.78,24.69,0,0,0,,,HLD02,,-122.5164186,47.0599073,10
967,11.1,6.7,2,3.3,100,0,160,0,100,3.31,41.73,0,0,0,,20,HLD02,,-122.5162057,47.05997407,30
968,20.1,14.3,5,5.4,10,0,32,0,60,0.00,0.00,0,0,0,,,HLD02,1143,-122.5163334,47.06000091,10
969,16.5,7.8,1,2.9,100,0,90,0,100,5.23,58.79,0,0,49,,,HLD02,1146,-122.5160695,47.06020368,100
970,18.7,12.3,2,3.9,100,0,210,30,60,1.65,27.86,0,0,0,,,HLD02,,-122.5159148,47.06043755,10
971,20.7,13,2,4.4,80,0,180,30,40,0.59,13.00,0,0,0,,,HLD02,1151,-122.5160507,47.06043503,10
972,14.7,10.8,4,4.1,100,0,86,0,40,1.63,31.40,0,0,0,,10,HLD02,1154,-122.5161968,47.06041522,30
973,29.1,11.8,2,2,30,0,27,0,100,4.85,74.52,0,0,0,,,HLD02,,-122.5161603,47.06043467,10
974,14.1,9.3,2,4.1,50,0,53,0,90,0.00,0.00,0,0,0,,,HLD02,1159,-122.5161927,47.06043599,0
975,26.3,13.8,2,2.9,30,0,60,0,80,1.34,27.85,0,0,0,,,HLD02,,-122.5160572,47.06029089,10
976,18.3,8.6,2,3.2,90,0,30,0,70,0.19,4.46,0,0,0,,20,HLD02,,-122.5154184,47.0602725,40
977,17.9,9.4,4,2.7,100,0,0,0,0,0.00,0.00,0,0,0,,70,HLD02,1166,-122.5152557,47.060089,70
978,15.7,9.5,1,3.6,0,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.515301,47.05973592,0
979,15,6.5,2,3.2,0,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,1171,-122.5152024,47.05970011,10
980,32.7,19.1,1,4.2,0,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.5148228,47.05947544,0
981,19.5,8.6,1,4.9,10,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.5148486,47.05937075,0
982,5.1,3.6,1,2.6,100,10,360,70,0,0.00,0.00,0,0,112,,,HLD02,,-122.5140874,47.05842698,100
983,40.9,15.4,2,6.3,0,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.5143294,47.05851591,0
984,12.9,10,1,3.4,0,0,0,0,0,0.00,0.00,0,0,0,,10,HLD02,,-122.514069,47.05858795,0
985,22.8,14.8,7,7.5,10,0,20,0,40,0.00,0.00,0,0,0,,,HLD02,,-122.514658,47.05888635,5
986,18.5,11.4,2,2.5,100,0,7,0,10,1.59,25.00,0,0,0,,30,HLD02,9314,-122.5149451,47.05929721,70
987,15.2,11.4,1,4.9,40,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,,-122.5144989,47.05907151,40
988,20,12.1,1,2.8,90,0,0,0,0,0.00,0.00,0,0,0,,10,HLD02,,-122.5148775,47.05935109,20
989,15.9,6.2,5,3.9,40,0,0,0,0,2.34,46.87,0,0,0,,,HLD02,9321,-122.5153403,47.05971094,10
990,7.4,3.5,1,1.8,100,0,0,0,0,0.00,0.00,0,0,0,,,HLD02,9324,-122.5156441,47.05962403,10
